book title 1,writer1/writer2,catalog-num1,subject1/subject2,book publicher1,2023,yes
book title 2,writer1/writer3,catalog-num2,subject1/subject3,book publicher2,2024,yes
book title 3,writer1/writer4,catalog-num3,subject1/subject4,book publicher3,2025,yes
book title 4,writer1/writer5,catalog-num4,subject1/subject5,book publicher4,2026,yes
book title 5,writer1/writer6,catalog-num5,subject1/subject6,book publicher5,2027,yes
book title 6,writer1/writer7,catalog-num6,subject1/subject7,book publicher6,2028,yes
book title 7,writer1/writer8,catalog-num7,subject1/subject8,book publicher7,2029,yes
book title 8,writer1/writer9,catalog-num8,subject1/subject9,book publicher8,2030,yes
book title 9,writer1/writer10,catalog-num9,subject1/subject10,book publicher9,2031,yes
book title 10,writer1/writer11,catalog-num10,subject1/subject11,book publicher10,2032,yes
book title 11,writer1/writer12,catalog-num11,subject1/subject12,book publicher11,2033,yes
book title 12,writer1/writer13,catalog-num12,subject1/subject13,book publicher12,2034,yes
book title 13,writer1/writer14,catalog-num13,subject1/subject14,book publicher13,2035,yes
book title 14,writer1/writer15,catalog-num14,subject1/subject15,book publicher14,2036,yes
book title 15,writer1/writer16,catalog-num15,subject1/subject16,book publicher15,2037,yes
book title 16,writer1/writer17,catalog-num16,subject1/subject17,book publicher16,2038,yes
book title 17,writer1/writer18,catalog-num17,subject1/subject18,book publicher17,2039,yes
book title 18,writer1/writer19,catalog-num18,subject1/subject19,book publicher18,2040,yes
book title 19,writer1/writer20,catalog-num19,subject1/subject20,book publicher19,2041,yes
